Time_min,Temp_C,Mass_mg,Heat_Flow_mW
0.000555556,51.5785,28.96233,14.49158
0.004166667,51.56534,28.96222,14.48839
0.0125,51.55417,28.96212,14.48474
0.02083334,51.54019,28.96198,14.48118
0.02916666,51.52832,28.96196,14.47808
0.0375,51.5158,28.96181,14.47516
0.04583334,51.51119,28.9618,14.46784
0.05416668,51.49908,28.96165,14.46419
0.0625,51.48824,28.96166,14.461
0.07083332,51.47524,28.96152,14.45914
0.07916666,51.46116,28.96144,14.45568
0.0875,51.45547,28.96134,14.45162
0.09583331,51.44455,28.96118,14.44964
0.1041666,51.432,28.96113,14.44867
0.1125,51.4216,28.96094,14.44698
0.1208333,51.4115,28.96094,14.44341
0.1291666,51.40468,28.96076,14.44152
0.1375,51.398,28.96072,14.44039
0.1458333,51.38187,28.9606,14.44014
0.1541667,51.37437,28.9605,14.43784
0.1625,51.36778,28.96048,14.43822
0.1708334,51.35787,28.96038,14.4391
0.1791666,51.35746,28.96038,14.43734
0.1875,51.34921,28.96029,14.43916
0.1958334,51.34194,28.96029,14.44234
0.2041667,51.34434,28.96018,14.44384
0.2125,51.34007,28.96015,14.4477
0.2208333,51.33336,28.96013,14.45201
0.2291667,51.33269,28.96004,14.45569
0.2375,51.33364,28.9601,14.46184
0.2458334,51.33146,28.95996,14.46734
0.2541666,51.33315,28.96,14.47297
0.2625,51.33364,28.95991,14.47982
0.2708334,51.33465,28.95989,14.48561
0.2791667,51.33828,28.95984,14.49167
0.2875,51.34238,28.95982,14.49802
0.2958333,51.34452,28.95984,14.50315
0.3041667,51.35497,28.95979,14.50595
0.3125,51.36479,28.9598,14.51051
0.3208333,51.37344,28.95974,14.51487
0.3291667,51.38637,28.95976,14.51699
0.3375,51.39246,28.95974,14.51924
0.3458333,51.40534,28.95971,14.51946
0.3541666,51.41278,28.95972,14.52106
0.3625,51.42383,28.9597,14.52001
0.3708334,51.4405,28.95967,14.51735
0.3791666,51.45347,28.9596,14.5134
0.3875,51.46856,28.95955,14.5078
0.3958334,51.4836,28.95955,14.49988
0.4041666,51.49978,28.95952,14.4877
0.4125,51.52417,28.95956,14.4719
0.4208333,51.54215,28.9595,14.45574
0.4291667,51.56574,28.95952,14.43522
0.4375,51.59118,28.95948,14.41042
0.4458333,51.61396,28.9595,14.38192
0.4541667,51.64395,28.95952,14.34967
0.4625,51.66044,28.9595,14.31727
0.4708334,51.69003,28.95954,14.28021
0.4791666,51.72285,28.95941,14.23901
0.4875,51.75766,28.95948,14.19502
0.4958334,51.78756,28.95935,14.14881
0.5041666,51.81758,28.95938,14.09906
0.5125,51.8556,28.95928,14.04484
0.5208332,51.88943,28.95923,13.9887
0.5291666,51.9294,28.95922,13.9283
0.5375,51.9669,28.95912,13.86382
0.5458334,52.00726,28.95919,13.79827
0.5541668,52.04818,28.959,13.72711
0.5625,52.09078,28.95914,13.652
0.5708332,52.13838,28.95898,13.57172
0.5791666,52.18032,28.95906,13.4891
0.5875,52.2247,28.95899,13.40274
0.5958334,52.2709,28.95896,13.31215
0.6041668,52.32134,28.959,13.21617
0.6125,52.37417,28.95886,13.11634
0.6208334,52.42558,28.9589,13.01334
0.6291666,52.47682,28.95872,12.90464
0.6375,52.53635,28.95882,12.79098
0.6458332,52.59498,28.95868,12.67387
0.6541666,52.6546,28.9587,12.55407
0.6625,52.71702,28.95859,12.43017
0.6708334,52.77743,28.95854,12.3031
0.6791668,52.84614,28.9586,12.17055
0.6875,52.90664,28.95844,12.03599
0.6958332,52.9728,28.95854,11.89671
0.7041666,53.03931,28.95837,11.75318
0.7125,53.10486,28.95848,11.60602
0.7208334,53.1787,28.95838,11.4536
0.7291668,53.24675,28.95834,11.29663
0.7375,53.31838,28.9583,11.13488
0.7458334,53.39662,28.95822,10.96847
0.7541666,53.46431,28.95824,10.79899
0.7625,53.546,28.9581,10.62276
0.7708332,53.62126,28.95816,10.44325
0.7791666,53.70664,28.95801,10.2589
0.7875,53.79119,28.95807,10.07199
0.7958334,53.8715,28.95794,9.88263
0.8041668,53.9574,28.95794,9.686434
0.8125,54.04518,28.95793,9.487353
0.8208332,54.13691,28.95788,9.285578
0.8291666,54.22107,28.9579,9.080295
0.8375,54.31211,28.9578,8.869391
0.8458334,54.39942,28.95781,8.655824
0.8541668,54.50075,28.95766,8.43816
0.8625,54.59874,28.95765,8.216679
0.8708332,54.69229,28.9576,7.99098
0.8791668,54.78924,28.95756,7.761297
0.8875,54.88996,28.95752,7.5301
0.8958332,54.9882,28.95744,7.295444
0.9041666,55.09817,28.95742,7.054639
0.9125,55.20115,28.95737,6.811849
0.9208334,55.30757,28.95735,6.566774
0.9291668,55.4111,28.95734,6.319213
0.9375,55.52491,28.9573,6.065438
0.9458332,55.63818,28.95729,5.809832
0.9541666,55.75116,28.95722,5.551915
0.9625,55.86132,28.95722,5.289929
0.9708334,55.97317,28.9571,5.024168
0.9791668,56.09098,28.95704,4.75484
0.9875,56.20964,28.95698,4.482286
0.9958332,56.32141,28.9569,4.206602
1.004167,56.45432,28.95686,3.927044
1.0125,56.57438,28.95674,3.64714
1.020833,56.69063,28.95672,3.365533
1.029167,56.8114,28.95663,3.079794
1.0375,56.93008,28.95656,2.79035
1.045834,57.05413,28.9565,2.497658
1.054167,57.18622,28.95639,2.204104
1.0625,57.31538,28.95638,1.909164
1.070833,57.45005,28.95622,1.61171
1.079166,57.57921,28.9562,1.313117
1.0875,57.71153,28.9561,1.011704
1.095833,57.83914,28.95604,0.7059741
1.104166,57.98318,28.95596,0.3994582
1.1125,58.11074,28.95584,0.09211574
1.120833,58.25424,28.95582,-0.2167318
1.129167,58.39878,28.95562,-0.5256238
1.1375,58.5393,28.95562,-0.8374322
1.145834,58.67328,28.95543,-1.152029
1.154167,58.8151,28.95543,-1.469881
1.1625,58.95922,28.9553,-1.788455
1.170834,59.10455,28.95522,-2.108952
1.179167,59.24839,28.95519,-2.430522
1.1875,59.39594,28.95502,-2.754325
1.195833,59.54176,28.95498,-3.079453
1.204166,59.68986,28.95475,-3.405872
1.2125,59.83601,28.95483,-3.735018
1.220833,59.9915,28.95461,-4.064672
1.229166,60.14329,28.95459,-4.395627
1.2375,60.2997,28.9544,-4.725234
1.245833,60.45418,28.9542,-5.055817
1.254167,60.60688,28.95414,-5.386228
1.2625,60.7638,28.95385,-5.717364
1.270834,60.91872,28.9539,-6.050548
1.279167,61.07744,28.95365,-6.385132
1.2875,61.2375,28.95362,-6.718634
1.295834,61.39908,28.9534,-7.051389
1.304167,61.55449,28.95326,-7.386018
1.3125,61.72176,28.95318,-7.719184
1.320833,61.88487,28.95294,-8.052461
1.329166,62.04946,28.95294,-8.386915
1.3375,62.21407,28.9527,-8.721366
1.345833,62.37343,28.95269,-9.056551
1.354166,62.5365,28.95247,-9.390015
1.3625,62.708,28.95235,-9.722299
1.370833,62.87998,28.9522,-10.05602
1.379167,63.04334,28.95199,-10.39054
1.3875,63.2099,28.95196,-10.7236
1.395834,63.37951,28.95166,-11.0568
1.404167,63.55376,28.95172,-11.38919
1.4125,63.71937,28.95149,-11.72234
1.420834,63.8873,28.95144,-12.05645
1.429167,64.05806,28.95127,-12.38921
1.4375,64.23002,28.95103,-12.72103
1.445833,64.40411,28.95098,-13.05152
1.454166,64.57836,28.95075,-13.38058
1.4625,64.75512,28.95065,-13.70936
1.470833,64.92801,28.95039,-14.03907
1.479166,65.10639,28.9503,-14.3657
1.4875,65.28324,28.95002,-14.69201
1.495833,65.46082,28.94982,-15.01779
1.504167,65.6397,28.94959,-15.34004
1.5125,65.81818,28.94934,-15.66187
1.520834,66.00261,28.94918,-15.98233
1.529167,66.18549,28.9489,-16.30028
1.5375,66.35816,28.94872,-16.61962
1.545834,66.53689,28.94846,-16.93617
1.554167,66.71708,28.94827,-17.25035
1.5625,66.89822,28.948,-17.56396
1.570833,67.0864,28.94771,-17.87344
1.579166,67.26716,28.94748,-18.18234
1.5875,67.45171,28.94722,-18.49
1.595833,67.62769,28.94694,-18.79804
1.604166,67.80806,28.94667,-19.10353
