Time_min,Temp_C,Mass_mg,Heat_Flow_mW
1.120833,58.4694,10.11059,3.309192
1.129167,58.61413,10.11038,3.084862
1.1375,58.74846,10.11032,2.859075
1.145834,58.89506,10.11014,2.630627
1.154167,59.045,10.10999,2.401396
1.1625,59.19108,10.10987,2.173242
1.170834,59.3367,10.10961,1.942674
1.179167,59.49082,10.10962,1.710281
1.1875,59.6412,10.10929,1.477894
1.195833,59.79121,10.10933,1.2452
1.204166,59.94826,10.10901,1.011329
1.2125,60.10151,10.10896,0.7777498
1.220833,60.25623,10.10878,0.5451004
1.229166,60.41011,10.10861,0.3112643
1.2375,60.57332,10.10852,0.07713344
1.245833,60.73113,10.10826,-0.1596094
1.254167,60.89262,10.10826,-0.3939719
1.2625,61.04954,10.10792,-0.62858
1.270834,61.2116,10.10796,-0.8630149
1.279167,61.37646,10.10757,-1.097592
1.2875,61.53803,10.10755,-1.332466
1.295834,61.70196,10.10728,-1.568542
1.304167,61.86556,10.10706,-1.804071
1.3125,62.03409,10.10697,-2.03844
1.320833,62.20165,10.10663,-2.273112
1.329166,62.36523,10.10663,-2.507067
1.3375,62.53215,10.1063,-2.742812
1.345833,62.7023,10.10627,-2.978521
1.354166,62.86566,10.10594,-3.214848
1.3625,63.0354,10.10585,-3.449771
1.370833,63.20982,10.10563,-3.683319
1.379167,63.38158,10.10544,-3.915731
1.3875,63.55953,10.1053,-4.148582
1.395834,63.73215,10.10498,-4.381576
1.404167,63.9005,10.10496,-4.614328
1.4125,64.08399,10.10459,-4.8461
1.420834,64.25337,10.10449,-5.078487
1.429167,64.43466,10.10419,-5.309018
1.4375,64.6111,10.10398,-5.538014
1.445833,64.79304,10.1038,-5.766418
1.454166,64.97063,10.10352,-5.994606
1.4625,65.15302,10.10334,-6.221831
1.470833,65.33264,10.10306,-6.448892
1.479166,65.51026,10.1029,-6.675908
1.4875,65.69734,10.10253,-6.899676
1.495833,65.87149,10.10236,-7.123249
1.504167,66.05274,10.10207,-7.344534
1.5125,66.23495,10.1018,-7.565608
1.520834,66.42229,10.10164,-7.78656
1.529167,66.606,10.10129,-8.006301
1.5375,66.79284,10.1011,-8.224704
1.545834,66.9846,10.1008,-8.440918
1.554167,67.17066,10.10056,-8.654875
1.5625,67.35482,10.10026,-8.867345
1.570833,67.53976,10.10002,-9.079845
1.579166,67.72578,10.09974,-9.291278
1.5875,67.91036,10.09944,-9.501088
1.595833,68.1027,10.09924,-9.707918
1.604166,68.29264,10.09884,-9.913549
1.6125,68.47913,10.09862,-10.11874
1.620833,68.66066,10.09827,-10.32287
1.629167,68.85628,10.09794,-10.52462
1.6375,69.04297,10.09765,-10.72766
1.645834,69.232,10.09731,-10.92958
1.654167,69.42042,10.09707,-11.12984
1.6625,69.61337,10.09668,-11.32653
1.670834,69.80061,10.09642,-11.52324
1.679166,69.99705,10.09599,-11.7181
1.6875,70.18808,10.09576,-11.91144
1.695834,70.38614,10.09536,-12.10148
1.704166,70.58387,10.09505,-12.28885
1.7125,70.7752,10.0948,-12.4754
1.720833,70.9653,10.09438,-12.65993
1.729166,71.16812,10.09411,-12.83968
1.7375,71.35356,10.09364,-13.02157
1.745833,71.54399,10.09338,-13.20181
1.754167,71.7345,10.09293,-13.38041
1.7625,71.92872,10.09265,-13.55515
1.770834,72.12212,10.09222,-13.72886
1.779167,72.31389,10.09186,-13.90204
1.7875,72.51006,10.09152,-14.07406
1.795834,72.70657,10.09103,-14.24445
1.804166,72.8999,10.09079,-14.41386
1.8125,73.09691,10.09029,-14.58018
1.820834,73.29068,10.09004,-14.74463
1.829166,73.4805,10.08958,-14.90786
1.8375,73.67504,10.08929,-15.06918
1.845833,73.87822,10.08884,-15.22648
1.854166,74.06934,10.08841,-15.38432
1.8625,74.27109,10.08804,-15.53707
1.870833,74.46444,10.08753,-15.68971
1.879167,74.66052,10.08724,-15.83914
1.8875,74.85449,10.08664,-15.98667
1.895834,75.05072,10.08635,-16.13264
1.904167,75.24691,10.08578,-16.27688
1.9125,75.43876,10.08541,-16.42122
1.920834,75.63355,10.08493,-16.56159
1.929166,75.8334,10.08447,-16.69824
1.9375,76.03182,10.08412,-16.83353
1.945834,76.21744,10.0836,-16.97078
1.954166,76.41684,10.08329,-17.10274
1.9625,76.61098,10.0827,-17.23447
1.970833,76.80768,10.08237,-17.36364
1.979166,76.9934,10.08179,-17.49354
1.9875,77.1853,10.08141,-17.62078
1.995833,77.3835,10.08091,-17.74294
2.004166,77.5822,10.08043,-17.86262
2.0125,77.77424,10.08002,-17.98314
2.020833,77.96913,10.0795,-18.10066
2.029167,78.15859,10.07911,-18.21737
2.0375,78.35882,10.07847,-18.32869
2.045834,78.54749,10.07809,-18.4417
2.054166,78.74413,10.0775,-18.55038
2.0625,78.93837,10.07707,-18.65795
2.070834,79.12344,10.07651,-18.7657
2.079166,79.322,10.076,-18.86814
2.0875,79.51179,10.07547,-18.97073
2.095833,79.70108,10.07494,-19.0725
2.104167,79.90122,10.07441,-19.16938
2.1125,80.09326,10.07383,-19.26632
2.120834,80.28861,10.07337,-19.36078
2.129166,80.47632,10.07275,-19.45474
2.1375,80.67071,10.0723,-19.54535
2.145833,80.85775,10.07172,-19.63632
2.154167,81.04715,10.07122,-19.72417
2.1625,81.23243,10.07064,-19.8118
2.170834,81.42798,10.07011,-19.89477
2.179166,81.61925,10.06949,-19.97549
2.1875,81.81087,10.06892,-20.05452
2.195834,82.00426,10.06838,-20.13144
2.204166,82.19296,10.06776,-20.20803
2.2125,82.37918,10.06726,-20.28344
2.220833,82.56774,10.06658,-20.35658
2.229167,82.7561,10.06606,-20.42768
2.2375,82.94845,10.06539,-20.49534
2.245834,83.13501,10.06486,-20.56256
2.254166,83.31939,10.06422,-20.62868
2.2625,83.50994,10.06364,-20.69266
2.270833,83.69676,10.06308,-20.75452
2.279167,83.88272,10.0624,-20.81516
2.2875,84.07007,10.06186,-20.87334
2.295834,84.25928,10.0611,-20.92966
2.304166,84.44151,10.06058,-20.98601
2.3125,84.63038,10.05984,-21.03831
2.320834,84.81608,10.05934,-21.09026
2.329166,85.0038,10.0586,-21.13962
2.3375,85.18725,10.05798,-21.18862
2.345833,85.37403,10.05738,-21.23382
2.354167,85.55707,10.05664,-21.27952
2.3625,85.74256,10.0561,-21.32214
2.370834,85.92781,10.05533,-21.36325
2.379166,86.10914,10.05483,-21.4042
2.3875,86.29728,10.05407,-21.44068
2.395833,86.47569,10.05351,-21.4778
2.404167,86.66132,10.05272,-21.51158
2.4125,86.84242,10.05213,-21.5448
2.420834,87.02494,10.05143,-21.57615
2.429166,87.20949,10.05069,-21.60517
2.4375,87.38751,10.05013,-21.63512
2.445834,87.57059,10.04929,-21.6621
2.454166,87.75197,10.04875,-21.68783
2.4625,87.92856,10.0479,-21.7137
2.470833,88.11488,10.04731,-21.73497
2.479167,88.28995,10.04654,-21.75826
2.4875,88.47348,10.0459,-21.77686
2.495834,88.64966,10.04518,-21.79685
2.504166,88.83163,10.04442,-21.81314
2.5125,89.008,10.04377,-21.83018
2.520833,89.18562,10.04289,-21.84524
2.529167,89.35892,10.04233,-21.86042
2.5375,89.53139,10.04146,-21.87438
2.545834,89.71601,10.04083,-21.88237
2.554166,89.88789,10.04003,-21.89304
2.5625,90.06616,10.03922,-21.90199
2.570834,90.24228,10.03848,-21.90918
2.579166,90.42494,10.03766,-21.91253
2.5875,90.59676,10.03699,-21.91825
2.595833,90.77662,10.03611,-21.91931
2.604167,90.95098,10.03543,-21.92079
2.6125,91.13006,10.03451,-21.91925
2.620834,91.30262,10.03373,-21.9181
2.629166,91.47918,10.03291,-21.9139
2.6375,91.64924,10.03202,-21.91153
2.645833,91.82234,10.03131,-21.90584
2.654167,91.99501,10.03034,-21.89952
2.6625,92.17528,10.02956,-21.88898
2.670834,92.34536,10.02862,-21.88058
2.679166,92.51712,10.02778,-21.87117
2.6875,92.68661,10.02694,-21.86118
2.695834,92.86084,10.02605,-21.84836
2.704166,93.03153,10.02526,-21.83606
2.7125,93.20166,10.02432,-21.82275
2.720833,93.36906,10.02356,-21.80898
2.729167,93.54006,10.02259,-21.79292
2.7375,93.70696,10.02176,-21.77778
2.745834,93.87687,10.02091,-21.76123
2.754166,94.04772,10.01997,-21.74318
2.7625,94.2187,10.01917,-21.72372
2.770833,94.38826,10.01812,-21.70334
2.779167,94.55501,10.01731,-21.6832
2.7875,94.7254,10.01629,-21.66013
