Time_min,Temp_C,Mass_mg,Heat_Flow_mW
0.000611111,51.59289,11.06982,15.02391
0.004166667,51.57861,11.06981,15.01948
0.0125,51.56206,11.06976,15.01294
0.02083334,51.554,11.06988,15.00639
0.02916666,51.54072,11.06975,15.00129
0.0375,51.53165,11.06986,14.99352
0.04583334,51.52397,11.06981,14.98654
0.05416668,51.51694,11.06983,14.97989
0.0625,51.50442,11.06983,14.97497
0.07083332,51.48772,11.06986,14.97108
0.07916666,51.47334,11.06978,14.96609
0.0875,51.46215,11.06981,14.95917
0.09583332,51.45735,11.06983,14.95331
0.1041666,51.44582,11.06978,14.94832
0.1125,51.43601,11.0699,14.94232
0.1208333,51.4263,11.06983,14.93815
0.1291666,51.41524,11.06988,14.93485
0.1375,51.4103,11.06988,14.92979
0.1458333,51.3966,11.06997,14.92617
0.1541667,51.3914,11.06994,14.92217
0.1625,51.38228,11.07009,14.92049
0.1708334,51.37412,11.07006,14.92001
0.1791666,51.36462,11.0701,14.91881
0.1875,51.35803,11.07021,14.91765
0.1958334,51.35441,11.07013,14.91873
0.2041667,51.35219,11.07034,14.91948
0.2125,51.34917,11.07032,14.92106
0.2208333,51.34428,11.07048,14.92375
0.2291667,51.34516,11.07045,14.92821
0.2375,51.3443,11.07064,14.93361
0.2458334,51.33941,11.07064,14.93907
0.2541666,51.34444,11.07079,14.94388
0.2625,51.3406,11.07093,14.95271
0.2708334,51.34363,11.07091,14.96049
0.2791667,51.34442,11.07112,14.96788
0.2875,51.35205,11.07102,14.97515
0.2958333,51.35078,11.07118,14.98344
0.3041667,51.3616,11.07117,14.98938
0.3125,51.36663,11.07133,14.99434
0.3208333,51.37676,11.07134,14.99761
0.3291667,51.38266,11.07146,15.0036
0.3375,51.39474,11.07155,15.00642
0.3458333,51.40785,11.07156,15.00838
0.3541666,51.42461,11.07177,15.0097
0.3625,51.43466,11.07177,15.01141
0.3708334,51.44816,11.07197,15.01033
0.3791666,51.46236,11.07198,15.00754
0.3875,51.47806,11.07214,15.00368
0.3958334,51.49059,11.07217,14.99944
0.4041666,51.51211,11.07225,14.99179
0.4125,51.53161,11.07232,14.98126
0.4208333,51.5541,11.07235,14.96897
0.4291667,51.57942,11.07252,14.95494
0.4375,51.60384,11.07251,14.93798
0.4458333,51.63182,11.07266,14.91859
0.4541667,51.66256,11.07267,14.89722
0.4625,51.67624,11.07283,14.87765
0.4708334,51.70784,11.07289,14.8501
0.4791666,51.73824,11.07299,14.8203
0.4875,51.77537,11.0731,14.78738
0.4958334,51.81128,11.07317,14.75422
0.5041666,51.84074,11.07329,14.71954
0.5125,51.8734,11.07333,14.67898
0.5208332,51.9096,11.07343,14.63519
0.5291666,51.94579,11.07351,14.58978
0.5375,51.98056,11.07358,14.54007
0.5458334,52.02203,11.07367,14.48524
0.5541668,52.06494,11.07373,14.42976
0.5625,52.10698,11.07381,14.37248
0.5708332,52.1549,11.07389,14.30974
0.5791666,52.20344,11.07392,14.24374
0.5875,52.24409,11.07402,14.17628
0.5958334,52.30141,11.07404,14.10416
0.6041668,52.3581,11.07418,14.0305
0.6125,52.40444,11.07418,13.95384
0.6208334,52.46068,11.07429,13.87331
0.6291666,52.51637,11.07434,13.79109
0.6375,52.5721,11.0744,13.70512
0.6458332,52.63191,11.07454,13.61528
0.6541666,52.68926,11.07454,13.52394
0.6625,52.75468,11.07472,13.42846
0.6708334,52.8135,11.07466,13.33133
0.6791668,52.88484,11.07488,13.22822
0.6875,52.95089,11.07482,13.12292
0.6958332,53.01492,11.07496,13.01584
0.7041666,53.08093,11.07504,12.90537
0.7125,53.14907,11.07508,12.79087
0.7208334,53.22246,11.07525,12.67245
0.7291668,53.29152,11.07522,12.55068
0.7375,53.36811,11.0754,12.4244
0.7458334,53.45367,11.07533,12.29418
0.7541666,53.53123,11.07555,12.16434
0.7625,53.60394,11.07546,12.03246
0.7708332,53.68748,11.07564,11.89561
0.7791666,53.76924,11.07573,11.7579
0.7875,53.8564,11.07576,11.61732
0.7958334,53.93875,11.07591,11.47602
0.8041668,54.02418,11.07584,11.32981
0.8125,54.1236,11.07601,11.18012
0.8208332,54.21433,11.07599,11.03102
0.8291666,54.30174,11.0762,10.87747
0.8375,54.40122,11.07616,10.71923
0.8458334,54.49396,11.07635,10.56089
0.8541668,54.59256,11.07638,10.39824
0.8625,54.68735,11.0764,10.23357
0.8708332,54.78829,11.07653,10.06492
0.8791668,54.89238,11.0765,9.892774
0.8875,54.9936,11.07669,9.720061
0.8958332,55.10272,11.07668,9.544332
0.9041666,55.2088,11.07684,9.366728
0.9125,55.3155,11.07682,9.187705
0.9208334,55.42123,11.077,9.006072
0.9291668,55.53206,11.07704,8.821786
0.9375,55.64621,11.07715,8.635007
0.9458332,55.75394,11.07726,8.445614
0.9541666,55.86783,11.07731,8.254066
0.9625,55.98326,11.07742,8.059882
0.9708334,56.1003,11.07746,7.864335
0.9791668,56.21636,11.07762,7.666012
0.9875,56.34008,11.07762,7.46407
0.9958332,56.4592,11.07774,7.260478
1.004167,56.58359,11.07772,7.054993
1.0125,56.70271,11.0778,6.84736
1.020833,56.8382,11.07781,6.638565
1.029167,56.95901,11.07788,6.429599
1.0375,57.09138,11.07793,6.218124
1.045834,57.21884,11.07804,6.007256
1.054167,57.35283,11.07809,5.793535
1.0625,57.48934,11.07815,5.580268
1.070833,57.62141,11.07821,5.366026
1.079166,57.75885,11.07826,5.150012
1.0875,57.8928,11.0784,4.932232
1.095833,58.0306,11.07841,4.714318
1.104166,58.16861,11.07854,4.49335
1.1125,58.3091,11.07852,4.270358
1.120833,58.45136,11.07867,4.048094
1.129167,58.59359,11.07863,3.824734
1.1375,58.73968,11.07876,3.60146
1.145834,58.88838,11.07875,3.375428
1.154167,59.03832,11.07884,3.149038
1.1625,59.18408,11.07892,2.922375
1.170834,59.3292,11.0789,2.695524
1.179167,59.48212,11.07902,2.467064
1.1875,59.62556,11.07901,2.238517
1.195833,59.77981,11.07919,2.010284
1.204166,59.93216,11.07916,1.780187
1.2125,60.08509,11.07934,1.548338
1.220833,60.245,11.07931,1.316006
1.229166,60.4053,11.07941,1.084478
1.2375,60.56144,11.07943,0.8524219
1.245833,60.71692,11.07948,0.6196754
1.254167,60.87781,11.0796,0.3870865
1.2625,61.03506,11.07964,0.1541823
1.270834,61.19841,11.07972,-0.0779208
1.279167,61.3551,11.07973,-0.3104592
1.2875,61.52265,11.07986,-0.5436292
1.295834,61.67944,11.07983,-0.7756692
1.304167,61.84514,11.07998,-1.008324
1.3125,62.01255,11.08004,-1.241656
1.320833,62.17866,11.08012,-1.475731
1.329166,62.3453,11.08022,-1.708691
1.3375,62.51137,11.08023,-1.941852
1.345833,62.68276,11.08034,-2.173661
1.354166,62.85666,11.08038,-2.40594
1.3625,63.0244,11.08043,-2.636621
1.370833,63.19625,11.08049,-2.866565
1.379167,63.3728,11.08056,-3.096104
1.3875,63.54397,11.08058,-3.325498
1.395834,63.71764,11.08065,-3.55302
1.404167,63.89623,11.0807,-3.778837
1.4125,64.07396,11.08075,-4.005141
1.420834,64.24454,11.08084,-4.229766
1.429167,64.4253,11.0809,-4.454407
1.4375,64.60242,11.08097,-4.678535
1.445833,64.7825,11.08108,-4.902527
1.454166,64.95971,11.08108,-5.125811
1.4625,65.14193,11.0812,-5.346912
1.470833,65.3215,11.08127,-5.567094
1.479166,65.50449,11.0813,-5.786687
1.4875,65.68439,11.0814,-6.00668
1.495833,65.8669,11.08139,-6.22451
1.504167,66.04524,11.08149,-6.443082
1.5125,66.23144,11.08151,-6.659292
1.520834,66.41452,11.08162,-6.87395
1.529167,66.5952,11.08165,-7.088532
1.5375,66.78071,11.08174,-7.301476
1.545834,66.96747,11.08176,-7.513632
1.554167,67.15547,11.08181,-7.72517
1.5625,67.3417,11.08195,-7.93529
1.570833,67.52941,11.08192,-8.141901
1.579166,67.71335,11.08211,-8.349468
1.5875,67.90112,11.0821,-8.554875
1.595833,68.08991,11.08214,-8.759625
1.604166,68.28034,11.08219,-8.962856
1.6125,68.47116,11.0822,-9.163686
1.620833,68.6602,11.08227,-9.362374
1.629167,68.84535,11.08232,-9.561418
1.6375,69.04243,11.08243,-9.756687
1.645834,69.23359,11.0824,-9.952241
1.654167,69.42292,11.08261,-10.14689
1.6625,69.61411,11.08255,-10.33873
1.670834,69.80352,11.08264,-10.53064
1.679166,69.99536,11.08276,-10.71935
1.6875,70.18766,11.08276,-10.90676
1.695834,70.38306,11.08288,-11.09187
1.704166,70.57388,11.08292,-11.2769
1.7125,70.76421,11.08302,-11.4595
1.720833,70.95871,11.08304,-11.64063
1.729166,71.155,11.08317,-11.81972
1.7375,71.34251,11.08311,-11.99881
1.745833,71.54131,11.08326,-12.17463
1.754167,71.73205,11.08334,-12.34958
1.7625,71.92566,11.08334,-12.52306
1.770834,72.12347,11.08351,-12.69353
1.779167,72.32182,11.08355,-12.86181
1.7875,72.51242,11.08364,-13.02965
1.795834,72.70918,11.08369,-13.19434
1.804166,72.90682,11.08375,-13.3559
1.8125,73.10342,11.08376,-13.51608
1.820834,73.30068,11.08388,-13.67466
1.829166,73.49289,11.08387,-13.83133
1.8375,73.6855,11.08394,-13.98638
1.845833,73.88578,11.08403,-14.13793
1.854166,74.08112,11.08401,-14.28987
1.8625,74.2767,11.08406,-14.43991
1.870833,74.4679,11.08414,-14.58896
1.879167,74.6643,11.08411,-14.73549
1.8875,74.85587,11.0842,-14.88139
1.895834,75.04822,11.08428,-15.02578
1.904167,75.24413,11.08432,-15.16822
1.9125,75.44231,11.08445,-15.30866
1.920834,75.63762,11.08444,-15.44645
1.929166,75.82832,11.08456,-15.58368
1.9375,76.02429,11.0846,-15.71776
1.945834,76.2229,11.0847,-15.85011
1.954166,76.41631,11.08467,-15.98085
1.9625,76.61235,11.08488,-16.10953
1.970833,76.81138,11.08484,-16.2348
1.979166,77.00225,11.08494,-16.35991
1.9875,77.19925,11.08501,-16.48081
1.995833,77.39171,11.08499,-16.60151
2.004166,77.58681,11.08518,-16.72006
2.0125,77.78224,11.0851,-16.83639
2.020833,77.979,11.08526,-16.94987
2.029167,78.17524,11.08521,-17.06136
2.0375,78.36847,11.08538,-17.17181
2.045834,78.5611,11.08528,-17.27976
2.054166,78.75089,11.08543,-17.38796
2.0625,78.95292,11.08544,-17.49044
