Time_min,Temp_C,Mass_mg,Heat_Flow_mW
1.1125,58.267,14.89614,2.290243
1.120833,58.40683,14.89634,2.110518
1.129167,58.55396,14.89626,1.930906
1.1375,58.69521,14.8965,1.75118
1.145834,58.84074,14.89646,1.571587
1.154167,58.99292,14.8966,1.391364
1.1625,59.13989,14.89672,1.210018
1.170834,59.28704,14.89676,1.02855
1.179167,59.4375,14.89692,0.8463703
1.1875,59.59887,14.89694,0.6648235
1.195833,59.74343,14.89714,0.4829307
1.204166,59.90174,14.89714,0.2993868
1.2125,60.05805,14.89729,0.1156085
1.220833,60.21546,14.8973,-0.06723774
1.229166,60.37002,14.89746,-0.2508476
1.2375,60.53165,14.89757,-0.4344934
1.245833,60.691,14.89763,-0.615834
1.254167,60.85757,14.89778,-0.797535
1.2625,61.02306,14.89776,-0.9779962
1.270834,61.18675,14.89794,-1.158896
1.279167,61.34828,14.89791,-1.339497
1.2875,61.51176,14.89804,-1.517737
1.295834,61.67219,14.89812,-1.696094
1.304167,61.84644,14.89821,-1.874673
1.3125,62.01726,14.89825,-2.051312
1.320833,62.18985,14.89826,-2.226654
1.329166,62.35722,14.89836,-2.405631
1.3375,62.52518,14.89841,-2.582338
1.345833,62.69926,14.8985,-2.757847
1.354166,62.87484,14.89848,-2.934326
1.3625,63.04621,14.89856,-3.108658
1.370833,63.22121,14.8986,-3.282736
1.379167,63.39476,14.89869,-3.456809
1.3875,63.56986,14.8988,-3.630124
1.395834,63.74526,14.89882,-3.80265
1.404167,63.92047,14.8989,-3.976064
1.4125,64.10094,14.89889,-4.146812
1.420834,64.27996,14.89897,-4.317691
1.429167,64.46038,14.89904,-4.487328
1.4375,64.64088,14.89914,-4.655274
1.445833,64.81791,14.8992,-4.823106
1.454166,65.00218,14.89923,-4.99067
1.4625,65.18225,14.89925,-5.155989
1.470833,65.3655,14.89923,-5.320156
1.479166,65.5498,14.89931,-5.483379
1.4875,65.73662,14.89935,-5.644175
1.495833,65.91968,14.89941,-5.804324
1.504167,66.10244,14.89941,-5.963502
1.5125,66.29126,14.89943,-6.122558
1.520834,66.47722,14.89944,-6.27981
1.529167,66.66762,14.89948,-6.436199
1.5375,66.8539,14.89954,-6.590328
1.545834,67.03442,14.8996,-6.745226
1.554167,67.23125,14.89961,-6.897226
1.5625,67.42289,14.89964,-7.047961
1.570833,67.60518,14.89963,-7.198328
1.579166,67.79556,14.89967,-7.347437
1.5875,67.98312,14.8997,-7.496042
1.595833,68.17265,14.89974,-7.64309
1.604166,68.36024,14.8998,-7.79011
1.6125,68.55082,14.89978,-7.935634
1.620833,68.74053,14.89983,-8.081022
1.629167,68.93224,14.8998,-8.22315
1.6375,69.12932,14.89989,-8.363876
1.645834,69.32934,14.89987,-8.502781
1.654167,69.52331,14.89992,-8.641582
1.6625,69.7123,14.89994,-8.778672
1.670834,69.90622,14.89996,-8.913319
1.679166,70.10168,14.90001,-9.046131
1.6875,70.29897,14.89997,-9.177316
1.695834,70.496,14.90008,-9.306259
1.704166,70.69389,14.90005,-9.433742
1.7125,70.89262,14.90016,-9.560434
1.720833,71.0845,14.90015,-9.687028
1.729166,71.2825,14.90023,-9.810876
1.7375,71.47949,14.90029,-9.933066
1.745833,71.6709,14.90028,-10.05645
1.754167,71.87118,14.9003,-10.17661
1.7625,72.06778,14.90028,-10.29509
1.770834,72.26382,14.9004,-10.41199
1.779167,72.46094,14.90034,-10.52827
1.7875,72.6565,14.90045,-10.64313
1.795834,72.85451,14.90039,-10.75592
1.804166,73.0507,14.90042,-10.86684
1.8125,73.24826,14.90047,-10.97742
1.820834,73.44182,14.90043,-11.08726
1.829166,73.6356,14.90051,-11.19482
1.8375,73.84103,14.90047,-11.2989
1.845833,74.03838,14.90053,-11.40276
1.854166,74.2353,14.90046,-11.50491
1.8625,74.42606,14.90049,-11.6068
1.870833,74.62949,14.90041,-11.70412
1.879167,74.82194,14.90044,-11.80317
1.8875,75.02003,14.90041,-11.89931
1.895834,75.21524,14.90031,-11.99495
1.904167,75.41682,14.9004,-12.08841
1.9125,75.61749,14.90031,-12.17897
1.920834,75.81542,14.9004,-12.26929
1.929166,76.01216,14.90034,-12.35875
1.9375,76.21045,14.90037,-12.4466
1.945834,76.40203,14.90039,-12.53365
1.954166,76.59954,14.9004,-12.61845
1.9625,76.79461,14.90037,-12.70148
1.970833,76.99322,14.90038,-12.78212
1.979166,77.18715,14.90044,-12.86177
1.9875,77.38934,14.90042,-12.93788
1.995833,77.58196,14.90052,-13.01522
2.004166,77.78171,14.90039,-13.09
2.0125,77.98408,14.90048,-13.16224
2.020833,78.1768,14.90041,-13.2348
2.029167,78.37082,14.90044,-13.30644
2.0375,78.56452,14.90044,-13.37603
2.045834,78.76672,14.90044,-13.4423
2.054166,78.96355,14.90044,-13.50839
