Time_min,Temp_C,Mass_mg,Heat_Flow_mW
1.1125,58.16261,13.19127,3.25794
1.120833,58.30468,13.19142,3.019602
1.129167,58.44262,13.19131,2.780546
1.1375,58.58842,13.19143,2.539463
1.145834,58.73359,13.19138,2.297806
1.154167,58.87444,13.19141,2.056817
1.1625,59.02066,13.1915,1.813156
1.170834,59.17206,13.19141,1.568251
1.179167,59.31859,13.19161,1.32269
1.1875,59.47256,13.19143,1.075623
1.195833,59.62665,13.19162,0.8278982
1.204166,59.77618,13.19151,0.5798881
1.2125,59.92434,13.19161,0.3301158
1.220833,60.08101,13.19158,0.08061098
1.229166,60.23268,13.19164,-0.1712174
1.2375,60.39618,13.19171,-0.4239407
1.245833,60.55609,13.19164,-0.6737878
1.254167,60.71252,13.19178,-0.923233
1.2625,60.86821,13.1916,-1.173821
1.270834,61.02666,13.19184,-1.424334
1.279167,61.19374,13.19166,-1.675285
1.2875,61.3612,13.19179,-1.926561
1.295834,61.51723,13.19178,-2.177781
1.304167,61.68116,13.19178,-2.430813
1.3125,61.852,13.19182,-2.680354
1.320833,62.01246,13.19174,-2.931194
1.329166,62.1803,13.19184,-3.184218
1.3375,62.35593,13.1917,-3.435182
1.345833,62.52541,13.19189,-3.685209
1.354166,62.69504,13.19174,-3.935217
1.3625,62.8618,13.19188,-4.186404
1.370833,63.02754,13.19186,-4.438865
1.379167,63.20307,13.19186,-4.689496
1.3875,63.37505,13.19193,-4.939648
1.395834,63.5511,13.19188,-5.19133
1.404167,63.72821,13.19197,-5.441009
1.4125,63.89928,13.19191,-5.690788
1.420834,64.0796,13.19203,-5.940588
1.429167,64.252,13.19195,-6.191988
1.4375,64.43015,13.19201,-6.44115
1.445833,64.61411,13.19205,-6.68775
1.454166,64.79228,13.19199,-6.93419
1.4625,64.97095,13.19205,-7.179262
1.470833,65.14614,13.19196,-7.425064
1.479166,65.32649,13.19203,-7.669272
1.4875,65.50729,13.19202,-7.913595
1.495833,65.68811,13.19199,-8.157356
1.504167,65.87392,13.19201,-8.399581
1.5125,66.04597,13.19196,-8.643214
1.520834,66.23074,13.19204,-8.884601
1.529167,66.4154,13.1919,-9.125532
1.5375,66.60085,13.19201,-9.364813
1.545834,66.78159,13.19191,-9.604931
1.554167,66.9696,13.19196,-9.840881
1.5625,67.15842,13.19192,-10.07661
1.570833,67.34522,13.19186,-10.31215
1.579166,67.52656,13.19195,-10.54765
1.5875,67.7187,13.19184,-10.78064
1.595833,67.90396,13.19192,-11.01118
1.604166,68.09364,13.19176,-11.24062
1.6125,68.28515,13.19184,-11.46884
1.620833,68.4723,13.19172,-11.6958
1.629167,68.66298,13.19172,-11.92113
1.6375,68.84844,13.19174,-12.14748
1.645834,69.04004,13.1916,-12.37093
1.654167,69.23156,13.19166,-12.59294
1.6625,69.41997,13.19148,-12.81292
1.670834,69.60938,13.19155,-13.0316
1.679166,69.79828,13.19142,-13.25073
1.6875,69.99168,13.19143,-13.46755
1.695834,70.18074,13.19136,-13.68344
1.704166,70.37255,13.19129,-13.89777
1.7125,70.56028,13.19133,-14.11101
1.720833,70.75534,13.19109,-14.32038
1.729166,70.94545,13.19123,-14.52915
1.7375,71.13889,13.19103,-14.73447
1.745833,71.33204,13.19105,-14.94002
1.754167,71.52666,13.19094,-15.14353
1.7625,71.71915,13.1909,-15.34523
1.770834,71.91215,13.19081,-15.54538
1.779167,72.09929,13.19068,-15.7451
1.7875,72.2961,13.19068,-15.94075
1.795834,72.48718,13.1904,-16.13606
1.804166,72.68041,13.19047,-16.32906
1.8125,72.87518,13.1902,-16.51948
1.820834,73.07086,13.19023,-16.70807
1.829166,73.2611,13.1901,-16.89508
1.8375,73.45756,13.18996,-17.07956
1.845833,73.65,13.18987,-17.26299
1.854166,73.84538,13.18974,-17.44393
1.8625,74.04225,13.18973,-17.6217
1.870833,74.23189,13.18954,-17.80007
1.879167,74.43096,13.18961,-17.97391
1.8875,74.62092,13.18939,-18.1482
1.895834,74.81472,13.18942,-18.31995
1.904167,75.01189,13.18922,-18.48901
1.9125,75.20105,13.18916,-18.65813
1.920834,75.39913,13.18914,-18.8222
1.929166,75.59437,13.18898,-18.98599
1.9375,75.79022,13.18899,-19.14602
1.945834,75.98228,13.18881,-19.30602
1.954166,76.1751,13.18875,-19.46342
1.9625,76.36669,13.18855,-19.61885
1.970833,76.55879,13.18852,-19.77351
1.979166,76.75331,13.18834,-19.92436
1.9875,76.94824,13.18825,-20.07341
1.995833,77.14242,13.18811,-20.22018
2.004166,77.33246,13.18793,-20.36522
2.0125,77.5266,13.18786,-20.50671
2.020833,77.71988,13.18766,-20.64668
2.029167,77.91401,13.18759,-20.78371
2.0375,78.10554,13.18747,-20.91967
2.045834,78.29906,13.18744,-21.05366
2.054166,78.49602,13.18727,-21.18288
2.0625,78.68814,13.18727,-21.31101
2.070834,78.88381,13.18718,-21.43608
2.079166,79.06637,13.18716,-21.56481
2.0875,79.25962,13.18714,-21.68814
2.095833,79.45636,13.18707,-21.80586
2.104167,79.6528,13.18712,-21.92204
2.1125,79.84363,13.18707,-22.03896
2.120834,80.03716,13.1871,-22.15206
2.129166,80.22026,13.18712,-22.26548
2.1375,80.40994,13.18723,-22.37496
2.145833,80.60168,13.18719,-22.48242
2.154167,80.79175,13.18734,-22.58829
2.1625,80.97839,13.18734,-22.69165
2.170834,81.17163,13.18741,-22.79071
2.179166,81.35838,13.18754,-22.89173
2.1875,81.54562,13.1875,-22.99098
2.195834,81.73618,13.18768,-23.08607
2.204166,81.92813,13.18772,-23.17859
2.2125,82.11528,13.18787,-23.27142
2.220833,82.30431,13.18793,-23.36088
2.229167,82.48756,13.18807,-23.45001
2.2375,82.68139,13.18813,-23.5336
2.245834,82.86831,13.18825,-23.61705
2.254166,83.0575,13.18836,-23.69809
2.2625,83.2434,13.1884,-23.77776
2.270833,83.43528,13.18862,-23.85204
2.279167,83.61734,13.18862,-23.92734
2.2875,83.80266,13.18875,-24.00076
2.295834,83.98824,13.18872,-24.07106
2.304166,84.17254,13.18881,-24.1402
2.3125,84.35605,13.18882,-24.20832
2.320834,84.54505,13.18886,-24.27126
2.329166,84.73053,13.18892,-24.3339
2.3375,84.91202,13.18892,-24.39476
2.345833,85.09825,13.18902,-24.45205
2.354167,85.27841,13.18898,-24.51004
2.3625,85.46559,13.18907,-24.56401
2.370834,85.6502,13.18903,-24.61567
2.379166,85.83405,13.18908,-24.66614
2.3875,86.01618,13.18899,-24.71448
2.395833,86.20116,13.18896,-24.76008
2.404167,86.37616,13.1889,-24.80791
2.4125,86.56759,13.18875,-24.84822
2.420834,86.74765,13.18865,-24.89064
2.429166,86.92212,13.18842,-24.93361
2.4375,87.10358,13.18832,-24.97246
2.445834,87.29009,13.18801,-25.00698
2.454166,87.46799,13.18784,-25.04213
2.4625,87.64829,13.18755,-25.07476
2.470833,87.82538,13.18738,-25.10754
2.479167,88.00595,13.18713,-25.13627
2.4875,88.18651,13.18686,-25.1629
2.495834,88.36329,13.18663,-25.18895
2.504166,88.53968,13.18633,-25.21432
2.5125,88.7212,13.1861,-25.23564
2.520833,88.89681,13.18572,-25.25666
2.529167,89.07769,13.18545,-25.27468
2.5375,89.25392,13.18511,-25.29347
2.545834,89.43178,13.18482,-25.30972
2.554166,89.60992,13.18446,-25.32384
2.5625,89.78468,13.1841,-25.33728
2.570834,89.95662,13.18369,-25.351
2.579166,90.13184,13.18331,-25.36148
2.5875,90.30629,13.1829,-25.37071
2.595833,90.48656,13.18246,-25.37582
2.604167,90.65288,13.18202,-25.38499
2.6125,90.82892,13.18156,-25.38866
2.620834,91.00172,13.18109,-25.3929
2.629166,91.17944,13.18058,-25.39384
2.6375,91.351,13.18005,-25.39561
2.645833,91.52629,13.17951,-25.39393
2.654167,91.70428,13.179,-25.38884
2.6625,91.8689,13.17836,-25.38814
2.670834,92.04308,13.17784,-25.38295
2.679166,92.21324,13.1772,-25.37796
2.6875,92.38331,13.17665,-25.3721
2.695834,92.55934,13.17601,-25.36257
2.704166,92.73125,13.17538,-25.35236
2.7125,92.89356,13.17479,-25.34426
2.720833,93.06701,13.17412,-25.33154
2.729167,93.23532,13.17351,-25.32027
2.7375,93.40746,13.17277,-25.30633
2.745834,93.57336,13.17225,-25.29268
2.754166,93.74586,13.17146,-25.27469
2.7625,93.91407,13.17088,-25.25725
2.770833,94.0809,13.17015,-25.23892
2.779167,94.24991,13.16949,-25.21872
2.7875,94.41668,13.16882,-25.19821
2.795834,94.58278,13.16806,-25.17688
2.804166,94.75019,13.16744,-25.15284
2.8125,94.91597,13.16666,-25.12839
2.820834,95.08764,13.1661,-25.10088
2.829166,95.25257,13.16531,-25.0752
2.8375,95.41434,13.16474,-25.04997
2.845833,95.58353,13.16399,-25.02094
2.854167,95.75131,13.16334,-24.99074
2.8625,95.9212,13.16266,-24.95884
2.870834,96.08359,13.16193,-24.92878
2.879166,96.24908,13.16129,-24.89697
2.8875,96.4127,13.16055,-24.86549
2.895833,96.57558,13.15994,-24.83308
2.904167,96.73618,13.15919,-24.80076
2.9125,96.90141,13.15852,-24.7654
2.920834,97.06431,13.15777,-24.72951
2.929166,97.22871,13.15705,-24.6922
2.9375,97.3897,13.15632,-24.6555
2.945834,97.55342,13.1556,-24.6169
2.954166,97.71656,13.15487,-24.57802
2.9625,97.88218,13.15412,-24.53702
2.970833,98.03844,13.15337,-24.49876
2.979167,98.2032,13.15262,-24.45717
2.9875,98.36031,13.15188,-24.41804
2.995834,98.52566,13.15113,-24.37517
3.004166,98.6867,13.1504,-24.33294
3.0125,98.84789,13.14967,-24.28996
3.020833,99.00331,13.14897,-24.24827
3.029167,99.16705,13.1482,-24.20279
3.0375,99.32793,13.14753,-24.15722
3.045834,99.48992,13.14676,-24.1107
3.054166,99.65045,13.14606,-24.0643
3.0625,99.80758,13.14533,-24.0179
3.070834,99.96762,13.14459,-23.96886
3.079166,100.1257,13.14389,-23.92006
3.0875,100.2824,13.14313,-23.87143
3.095833,100.4439,13.14247,-23.82056
3.104167,100.6023,13.14169,-23.77032
3.1125,100.7581,13.14104,-23.72048
3.120834,100.9167,13.14026,-23.66968
3.129166,101.0767,13.13964,-23.61778
3.1375,101.2324,13.13891,-23.56629
3.145833,101.3913,13.13823,-23.51326
3.154167,101.5481,13.13759,-23.46025
3.1625,101.708,13.13685,-23.40577
3.170834,101.8646,13.13625,-23.35275
