Time_min,Temp_C,Mass_mg,Heat_Flow_mW
0.001722222,51.61758,21.44174,16.37267
0.004166667,51.60854,21.44153,16.3706
0.0125,51.59817,21.44156,16.36914
0.02083334,51.58746,21.44147,16.365
0.02916666,51.57934,21.44142,16.36209
0.0375,51.5605,21.44144,16.36234
0.04583334,51.54664,21.44133,16.361
0.05416668,51.53157,21.44138,16.35909
0.0625,51.52422,21.44121,16.35559
0.07083332,51.5102,21.44131,16.35516
0.07916666,51.49739,21.44113,16.35343
0.0875,51.48779,21.44122,16.35068
0.09583332,51.48024,21.44113,16.34933
0.1041666,51.4695,21.44111,16.35087
0.1125,51.45371,21.4411,16.35322
0.1208333,51.44726,21.441,16.35371
0.1291666,51.43662,21.44106,16.35549
0.1375,51.42754,21.44098,16.35749
0.1458333,51.41925,21.44108,16.35884
0.1541667,51.40561,21.44094,16.36116
0.1625,51.40437,21.44109,16.36346
0.1708334,51.39796,21.44102,16.36839
0.1791666,51.38628,21.44106,16.37478
0.1875,51.38348,21.44106,16.37964
0.1958334,51.37432,21.44111,16.38646
0.2041667,51.3732,21.44118,16.39234
0.2125,51.36636,21.44116,16.40007
0.2208333,51.36498,21.44126,16.40775
0.2291667,51.36368,21.44122,16.41662
0.2375,51.36269,21.44134,16.42521
0.2458334,51.36274,21.44127,16.43416
0.2541666,51.36266,21.44139,16.44272
0.2625,51.36753,21.44137,16.45068
0.2708334,51.37212,21.4415,16.45862
0.2791667,51.36902,21.44146,16.46856
0.2875,51.37211,21.44152,16.4768
0.2958333,51.38296,21.44158,16.48456
0.3041667,51.39053,21.44157,16.49222
0.3125,51.38828,21.44166,16.50086
0.3208333,51.3985,21.44165,16.50623
0.3291667,51.40812,21.44176,16.51062
0.3375,51.42104,21.44173,16.5143
0.3458333,51.4274,21.44182,16.51767
0.3541666,51.43533,21.44175,16.51949
0.3625,51.45204,21.44187,16.51665
0.3708334,51.46764,21.44184,16.51317
0.3791666,51.47754,21.4419,16.50814
0.3875,51.49136,21.44195,16.50045
0.3958334,51.50972,21.44192,16.4899
0.4041666,51.5331,21.44203,16.47752
0.4125,51.55172,21.44198,16.46395
0.4208333,51.57382,21.44209,16.44691
0.4291667,51.59637,21.44209,16.42742
0.4375,51.61656,21.4422,16.40461
0.4458333,51.63961,21.44219,16.3793
0.4541667,51.6664,21.44228,16.34982
0.4625,51.69174,21.44226,16.31905
0.4708334,51.71738,21.44229,16.28415
0.4791666,51.75086,21.44238,16.24482
0.4875,51.78012,21.44232,16.2031
0.4958334,51.8113,21.44248,16.15702
0.5041666,51.84731,21.4424,16.1071
0.5125,51.88066,21.44249,16.0536
0.5208332,51.92,21.44249,15.99621
0.5291666,51.9571,21.44253,15.9363
0.5375,51.99966,21.44256,15.87257
0.5458334,52.03262,21.4426,15.80556
0.5541668,52.07286,21.44265,15.73333
0.5625,52.11917,21.44266,15.65744
0.5708332,52.16441,21.44278,15.57836
0.5791666,52.21023,21.44268,15.49483
0.5875,52.25962,21.44286,15.40701
0.5958334,52.30898,21.4428,15.31558
0.6041668,52.359,21.4429,15.22061
0.6125,52.40723,21.44292,15.12241
0.6208334,52.46441,21.44297,15.01806
0.6291666,52.5238,21.44302,14.91034
0.6375,52.57416,21.44302,14.80133
0.6458332,52.64036,21.44308,14.68584
0.6541666,52.69526,21.44304,14.56889
0.6625,52.75681,21.44312,14.4472
0.6708334,52.81004,21.44304,14.32256
0.6791668,52.87514,21.44316,14.19111
0.6875,52.9438,21.44306,14.0566
0.6958332,53.01172,21.44315,13.9183
0.7041666,53.08075,21.44314,13.7757
0.7125,53.148,21.44317,13.62951
0.7208334,53.22404,21.44323,13.47962
0.7291668,53.29372,21.44322,13.32558
0.7375,53.37157,21.44328,13.16532
0.7458334,53.4465,21.44331,13.00337
0.7541666,53.519,21.44338,12.83805
0.7625,53.60238,21.44331,12.66818
0.7708332,53.6811,21.44343,12.49447
0.7791666,53.76394,21.44334,12.3171
0.7875,53.84516,21.44341,12.1371
0.7958334,53.92814,21.44338,11.95332
0.8041668,54.01798,21.44338,11.76362
0.8125,54.10729,21.44341,11.57033
0.8208332,54.19716,21.44335,11.37443
0.8291666,54.29204,21.44338,11.17368
0.8375,54.38238,21.44334,10.97087
0.8458334,54.48035,21.44345,10.76441
0.8541668,54.57063,21.44338,10.55586
0.8625,54.6709,21.4435,10.34158
0.8708332,54.76466,21.44344,10.12376
0.8791668,54.86082,21.4435,9.902609
0.8875,54.96484,21.44353,9.677574
0.8958332,55.07338,21.4435,9.44986
0.9041666,55.18252,21.44365,9.219666
0.9125,55.28191,21.44356,8.986993
0.9208334,55.39938,21.44366,8.749295
0.9291668,55.5078,21.44359,8.509858
0.9375,55.61892,21.44364,8.267416
0.9458332,55.72749,21.44363,8.022645
0.9541666,55.84392,21.44364,7.77613
0.9625,55.96521,21.44366,7.525956
0.9708334,56.07808,21.44364,7.274049
0.9791668,56.19621,21.44366,7.018724
0.9875,56.31262,21.4436,6.759782
0.9958332,56.43456,21.44366,6.498526
1.004167,56.5513,21.4436,6.2346
1.0125,56.67612,21.4436,5.9673
1.020833,56.8074,21.4436,5.697672
1.029167,56.9286,21.44354,5.42635
1.0375,57.05162,21.44362,5.15219
1.045834,57.18151,21.44354,4.875179
1.054167,57.31213,21.44358,4.596184
1.0625,57.44195,21.44362,4.315007
1.070833,57.571,21.44359,4.032224
1.079166,57.70728,21.44364,3.746839
1.0875,57.84016,21.44358,3.459661
1.095833,57.9801,21.44362,3.16964
1.104166,58.11016,21.44362,2.877248
1.1125,58.25242,21.44366,2.583449
1.120833,58.39158,21.44362,2.288102
1.129167,58.53,21.44364,1.991646
1.1375,58.6675,21.44365,1.693352
1.145834,58.81594,21.44358,1.393679
1.154167,58.95361,21.44363,1.092874
1.1625,59.09868,21.4435,0.7910178
1.170834,59.24872,21.44362,0.4883654
1.179167,59.39432,21.44354,0.1848713
1.1875,59.54407,21.44352,-0.1206474
1.195833,59.695,21.44353,-0.4261926
1.204166,59.84494,21.44347,-0.732296
1.2125,59.9951,21.4435,-1.039589
1.220833,60.14747,21.4434,-1.348066
1.229166,60.3,21.44346,-1.659141
1.2375,60.45392,21.44339,-1.969821
1.245833,60.61494,21.44348,-2.28051
1.254167,60.77262,21.44335,-2.591747
1.2625,60.92418,21.44342,-2.904082
1.270834,61.08476,21.44339,-3.215196
1.279167,61.24597,21.4433,-3.528088
1.2875,61.40392,21.44334,-3.841663
1.295834,61.5676,21.44328,-4.155739
1.304167,61.73199,21.44336,-4.469288
1.3125,61.8925,21.44326,-4.782102
1.320833,62.06096,21.44327,-5.094493
1.329166,62.22213,21.44316,-5.408157
1.3375,62.38453,21.44325,-5.723472
1.345833,62.54938,21.44308,-6.03897
1.354166,62.71426,21.44314,-6.353889
1.3625,62.88281,21.44309,-6.66767
1.370833,63.0592,21.44301,-6.981062
1.379167,63.22472,21.44304,-7.29489
1.3875,63.38977,21.4429,-7.609858
1.395834,63.56455,21.44292,-7.92199
1.404167,63.73764,21.44284,-8.234801
1.4125,63.9099,21.44288,-8.547613
1.420834,64.07632,21.44276,-8.859342
1.429167,64.25151,21.44284,-9.168809
1.4375,64.43157,21.44272,-9.477387
1.445833,64.60611,21.44272,-9.786061
1.454166,64.77705,21.44268,-10.09445
1.4625,64.95428,21.44256,-10.40126
1.470833,65.12992,21.44259,-10.70672
1.479166,65.30791,21.44246,-11.01267
1.4875,65.49118,21.44246,-11.31537
1.495833,65.66722,21.44234,-11.61865
1.504167,65.84839,21.44233,-11.91992
1.5125,66.02662,21.4422,-12.22118
1.520834,66.21089,21.44222,-12.51957
1.529167,66.38618,21.44214,-12.81833
1.5375,66.57202,21.4421,-13.11422
1.545834,66.75132,21.44208,-13.41003
1.554167,66.93429,21.44199,-13.70371
1.5625,67.11634,21.442,-13.99586
1.570833,67.3006,21.44189,-14.28846
1.579166,67.48858,21.44189,-14.5774
1.5875,67.67012,21.44174,-14.86536
1.595833,67.85103,21.44173,-15.15289
1.604166,68.03982,21.44158,-15.43705
1.6125,68.227,21.44153,-15.71975
1.620833,68.4156,21.44139,-16.00056
1.629167,68.59759,21.44132,-16.28076
1.6375,68.77906,21.44125,-16.55926
1.645834,68.96196,21.4411,-16.836
1.654167,69.14745,21.44106,-17.11038
1.6625,69.33761,21.44094,-17.3825
1.670834,69.52579,21.44092,-17.65424
1.679166,69.71634,21.4408,-17.92132
1.6875,69.90344,21.44078,-18.18879
1.695834,70.08618,21.44062,-18.45561
1.704166,70.27501,21.44062,-18.71876
1.7125,70.47122,21.44044,-18.97885
1.720833,70.65664,21.44034,-19.2395
1.729166,70.84456,21.44023,-19.49706
1.7375,71.0378,21.44008,-19.75081
1.745833,71.22872,21.44,-20.00184
1.754167,71.41129,21.43982,-20.2532
1.7625,71.60692,21.43976,-20.49889
1.770834,71.79856,21.43957,-20.74254
1.779167,71.99418,21.43952,-20.98342
1.7875,72.18509,21.4393,-21.2228
