Time_min,Temp_C,Mass_mg,Heat_Flow_mW
0.001722222,51.5364,6.766398,13.61079
0.004166667,51.51902,6.766339,13.60593
0.0125,51.51225,6.766397,13.59805
0.02083334,51.50493,6.766394,13.59071
0.02916666,51.48954,6.766422,13.58412
0.0375,51.4773,6.766308,13.57769
0.04583334,51.47324,6.766458,13.56893
0.05416668,51.4587,6.76633,13.56136
0.0625,51.44119,6.76638,13.55418
0.07083332,51.43152,6.766374,13.54713
0.07916666,51.42268,6.766339,13.54
0.0875,51.40869,6.766384,13.53308
0.09583332,51.39641,6.7664,13.52759
0.1041666,51.38797,6.7664,13.52034
0.1125,51.38164,6.7664,13.51296
0.1208333,51.36769,6.766515,13.50858
0.1291666,51.3595,6.76642,13.50377
0.1375,51.35328,6.766589,13.49899
0.1458333,51.34428,6.766582,13.49561
0.1541667,51.34108,6.76666,13.49206
0.1625,51.32612,6.766712,13.49149
0.1708334,51.32133,6.766728,13.49021
0.1791666,51.31764,6.766781,13.4896
0.1875,51.30964,6.766803,13.49207
0.1958334,51.29994,6.766946,13.49464
0.2041667,51.30044,6.766936,13.49699
0.2125,51.30434,6.767116,13.5001
0.2208333,51.3001,6.767101,13.50803
0.2291667,51.29728,6.767212,13.51425
0.2375,51.29818,6.767264,13.52138
0.2458334,51.29914,6.767345,13.5309
0.2541666,51.29399,6.7674,13.54239
0.2625,51.29848,6.767453,13.55222
0.2708334,51.30522,6.767574,13.56178
0.2791667,51.30893,6.767569,13.57284
0.2875,51.31187,6.767715,13.58447
0.2958333,51.319,6.767688,13.59557
0.3041667,51.3247,6.767799,13.60477
0.3125,51.3267,6.76784,13.61673
0.3208333,51.32944,6.76793,13.62663
0.3291667,51.34486,6.767999,13.63254
0.3375,51.35461,6.768116,13.63985
0.3458333,51.3652,6.768199,13.64676
0.3541666,51.37842,6.768259,13.65344
0.3625,51.39966,6.768374,13.65946
0.3708334,51.41536,6.768406,13.66522
0.3791666,51.42786,6.768524,13.66976
0.3875,51.44522,6.76858,13.67124
0.3958334,51.4659,6.768708,13.67184
0.4041666,51.48858,6.768745,13.67337
0.4125,51.50778,6.768869,13.6734
0.4208333,51.53218,6.768915,13.6722
0.4291667,51.54942,6.768978,13.6693
0.4375,51.56939,6.769089,13.66386
0.4458333,51.60009,6.76911,13.65514
0.4541667,51.62913,6.769257,13.64594
0.4625,51.65732,6.769294,13.63489
0.4708334,51.68354,6.769386,13.62201
0.4791666,51.71464,6.769452,13.60566
0.4875,51.75219,6.769556,13.58425
0.4958334,51.78541,6.769614,13.56325
0.5041666,51.8189,6.769741,13.53956
0.5125,51.8498,6.769818,13.51449
0.5208332,51.88941,6.76985,13.48477
0.5291666,51.92784,6.769995,13.45228
0.5375,51.9693,6.769996,13.4163
0.5458334,52.01274,6.770171,13.37875
0.5541668,52.05354,6.77021,13.34051
0.5625,52.10508,6.770346,13.29861
0.5708332,52.15234,6.770364,13.25615
0.5791666,52.19953,6.770481,13.21044
0.5875,52.24967,6.770489,13.16186
0.5958334,52.2947,6.770597,13.11187
0.6041668,52.349,6.770714,13.05847
