Time_min,Temp_C,Mass_mg,Heat_Flow_mW
0.000555556,51.62808,14.49637,16.92322
0.004166667,51.61804,14.49631,16.92022
0.0125,51.60783,14.49627,16.9181
0.02083334,51.59274,14.49622,16.91543
0.02916666,51.5791,14.49624,16.91266
0.0375,51.5595,14.49612,16.91155
0.04583334,51.55183,14.49618,16.90848
0.05416668,51.5409,14.49606,16.9069
0.0625,51.52854,14.49608,16.90455
0.07083332,51.5141,14.49609,16.90369
0.07916666,51.50017,14.49611,16.90075
0.0875,51.48362,14.49612,16.89833
0.09583332,51.47572,14.49611,16.89308
0.1041666,51.45842,14.49608,16.89145
0.1125,51.45032,14.4961,16.88766
0.1208333,51.4412,14.49619,16.88533
0.1291666,51.42344,14.49609,16.88434
0.1375,51.4184,14.49622,16.8807
0.1458333,51.41132,14.49616,16.87913
0.1541667,51.40546,14.49621,16.87734
0.1625,51.3954,14.49618,16.87814
0.1708334,51.38515,14.49622,16.88049
0.1791666,51.38191,14.49625,16.88256
0.1875,51.372,14.49627,16.88768
0.1958334,51.36678,14.4963,16.8929
0.2041667,51.35696,14.49622,16.89765
0.2125,51.35022,14.49638,16.90447
0.2208333,51.3507,14.4963,16.9094
0.2291667,51.34307,14.49646,16.91775
0.2375,51.3408,14.49646,16.92585
0.2458334,51.34209,14.49652,16.93497
0.2541666,51.34441,14.49652,16.94409
0.2625,51.3417,14.49657,16.95438
0.2708334,51.34126,14.49659,16.96304
0.2791667,51.34161,14.49662,16.97216
0.2875,51.34631,14.49674,16.98345
0.2958333,51.35511,14.49672,16.99339
0.3041667,51.35361,14.49687,17.00654
0.3125,51.3661,14.49682,17.01615
0.3208333,51.37504,14.49689,17.02607
0.3291667,51.3766,14.4969,17.03526
0.3375,51.3866,14.49699,17.0418
0.3458333,51.39277,14.49699,17.04875
0.3541666,51.4083,14.49711,17.05385
0.3625,51.42188,14.49714,17.05809
0.3708334,51.43491,14.49716,17.06097
0.3791666,51.45197,14.49727,17.06014
0.3875,51.47346,14.49722,17.05675
0.3958334,51.48465,14.49735,17.05496
0.4041666,51.50484,14.49733,17.04944
0.4125,51.52324,14.49747,17.04358
0.4208333,51.54449,14.49746,17.03569
0.4291667,51.55875,14.4976,17.02836
0.4375,51.585,14.49764,17.01335
0.4458333,51.60654,14.49767,16.99701
0.4541667,51.62709,14.49778,16.97717
0.4625,51.65854,14.49772,16.95518
0.4708334,51.68181,14.49786,16.93224
0.4791666,51.71152,14.49783,16.90329
0.4875,51.74678,14.49798,16.87092
0.4958334,51.77948,14.49796,16.83687
0.5041666,51.81613,14.49804,16.79918
0.5125,51.84646,14.49803,16.75996
0.5208332,51.88328,14.49808,16.71749
0.5291666,51.91819,14.49816,16.67291
0.5375,51.95341,14.49818,16.62555
0.5458334,51.99713,14.4983,16.5717
0.5541668,52.03882,14.49826,16.51684
0.5625,52.08069,14.49836,16.46029
0.5708332,52.12736,14.49829,16.39927
0.5791666,52.16898,14.49841,16.33469
0.5875,52.21946,14.49843,16.26576
0.5958334,52.26933,14.4985,16.19211
0.6041668,52.32071,14.49854,16.1162
0.6125,52.36616,14.49854,16.03882
0.6208334,52.422,14.4986,15.95609
0.6291666,52.48618,14.4986,15.8685
0.6375,52.53193,14.4987,15.78109
0.6458332,52.59295,14.49866,15.68691
0.6541666,52.64948,14.49878,15.59081
0.6625,52.71406,14.49872,15.49124
0.6708334,52.77382,14.49873,15.38767
0.6791668,52.833,14.49868,15.28241
0.6875,52.89946,14.49867,15.1725
0.6958332,52.96463,14.49873,15.05933
0.7041666,53.03198,14.4987,14.94266
0.7125,53.10742,14.49876,14.82082
0.7208334,53.17208,14.49872,14.69742
0.7291668,53.24278,14.49885,14.56879
0.7375,53.32014,14.49882,14.43602
0.7458334,53.39705,14.49887,14.30006
0.7541666,53.4807,14.49894,14.16244
0.7625,53.55468,14.49901,14.02343
0.7708332,53.63214,14.4991,13.88014
0.7791666,53.71805,14.49906,13.73241
0.7875,53.79595,14.49913,13.58235
0.7958334,53.88308,14.49909,13.42737
0.8041668,53.96765,14.49914,13.27039
0.8125,54.0547,14.4991,13.1124
0.8208332,54.14438,14.49919,12.94945
0.8291666,54.23962,14.49923,12.78304
0.8375,54.33084,14.4993,12.61303
0.8458334,54.42476,14.4993,12.44046
0.8541668,54.51672,14.49928,12.26538
0.8625,54.6152,14.49934,12.08587
0.8708332,54.71671,14.49934,11.90456
0.8791668,54.81496,14.49943,11.72117
0.8875,54.91057,14.49944,11.5351
0.8958332,55.01336,14.49952,11.34354
0.9041666,55.12201,14.49947,11.14996
0.9125,55.2346,14.49958,10.9546
0.9208334,55.33736,14.49951,10.75766
0.9291668,55.452,14.49961,10.55554
0.9375,55.56334,14.4996,10.35378
0.9458332,55.671,14.49967,10.1498
0.9541666,55.78261,14.49971,9.941519
0.9625,55.90422,14.49965,9.72928
0.9708334,56.01371,14.49977,9.517579
0.9791668,56.13732,14.49972,9.303697
0.9875,56.25656,14.49986,9.088218
