Index,MMApercent,TCEpercent,MMA_Mass_Percent,Run,startingMass,Mass_i_mg,Mass_f_mg,diff,rateOfMassLoss,rateOfMassLossOverPercentMMAbyMass
0,60,40,46.53465347,1,10.11991,10.03291,7.78118,2.25173,22.44343864,48.22951708
0,70,30,57.51748252,1,28.96233,28.69668,24.09234,4.60434,19.11121958,33.22680122
0,80,20,69.88847584,1,13.18631,13.16055,11.152,2.00855,15.26190015,21.83750606
0,90,10,83.92857143,1,14.49637,14.4103,12.46313,1.94717,13.51234881,16.09981985
0,100,0,100,1,21.44174,21.31572,17.86073,3.45499,16.20864789,16.20864789
